Customer,Spend_pd,LM_P,A_pd,P-A / S,lasso model,Actual,Predict A_pd,Spend
258669,6.219408450704225,0.0,0.0,0.0,-2.8059099037274815,0.0,17.451099767157377,2238.987042253521
282809,1.8625650557620816,0.0,0.06008,-0.03225659142167136,-2.7571633234839554,15.02,5.13539605935006,670.5234200743494
258509,1.2470919881305638,0.0,2.424,-1.9437218930687414,-2.739210066089904,606.0,3.4160469272273115,448.95311572700297
8247,1.1202389078498292,0.0,0.3324,-0.2967224202540901,-2.6718156419647774,83.1,2.9930718367307123,403.2860068259385
63490,1.536412429378531,0.0,0.0,0.0,-2.669366921640448,0.0,4.1012485169802915,553.1084745762712
101316,4.998298611111112,0.0,2.7559600000000004,-0.5513796222325652,-2.580251623541514,688.9900000000001,12.896868106264742,1799.3875000000003
91221,1.5989261744966443,0.0,2.71244,-1.696413532572196,-2.544364162937428,678.11,4.0682504575718985,575.613422818792
270129,4.228649517684888,0.0,0.0,0.0,-2.492903172727052,0.0,10.541613798987374,1522.3138263665596
129600,1.0724115755627008,0.0,0.0567999999999999,-0.0529647397457423,-2.475663997104365,14.2,2.6549307276985457,386.0681672025723
155637,1.2406716417910448,0.0,1.01724,-0.8199107368421051,-2.467902999786676,254.31,3.06185726652638,446.64179104477614
17377,1.1702830188679243,0.0,9.34004,-7.981009592906088,-2.4601839775442116,2335.01,2.8791115322109375,421.30188679245276
150835,0.2972126436781609,0.0,0.3347199999999999,-1.1261970414773275,-2.4188966760254993,83.67999999999998,0.7189266758658546,106.99655172413793
102584,0.3213953488372092,0.0,0.02328,-0.07243415340086833,-2.4143565132579816,5.82,0.7759629537959372,115.70232558139531
114257,4.338464285714285,0.0,4.36196,-1.0054156753953425,-2.403567502271775,1090.49,10.427791766909586,1561.8471428571427
299148,2.3648571428571428,0.0,2.76,-1.1670895251902862,-2.379295248973331,690.0,5.626693364500645,851.3485714285714
169901,1.5473725490196075,0.0,0.0,0.0,-2.377766084326647,0.0,3.6792899668768944,557.0541176470587
102434,0.5488028169014084,0.0,0.68832,-1.2542209675349674,-2.3737160806666058,172.08,1.302702071594004,197.56901408450702
7053,2.63914201183432,0.0,0.9942,-0.3767133392374695,-2.3518091080477803,248.55,6.206758220863496,950.0911242603552
272972,2.9249185667752444,0.0,0.71444,-0.24425979174787013,-2.33910909520623,178.61,6.841703622281545,1052.970684039088
147234,2.801570881226054,0.0,1.3785999999999998,-0.4920810711013251,-2.3389101878596232,344.65,6.55262267611048,1008.5655172413793
88747,1.2288996763754043,0.0,0.10928,-0.08892507834513999,-2.3046328385961137,27.32,2.8321625495148934,442.4038834951456
179691,2.149668508287293,0.0,20.11568,-9.357573003675242,-2.2733154529124624,5028.92,4.886874638528784,773.8806629834254
75198,2.444314285714286,0.0,1.4471200000000002,-0.592035160313731,-2.272333316219684,361.78,5.5542967867402915,879.9531428571429
253631,1.0108125,0.0,0.0,0.0,-2.268618531686929,0.0,2.2931479695607937,363.8925
121856,0.4673517786561265,0.0,1.0142,-2.170099797023004,-2.2578863622677465,253.55,1.0552272074092426,168.24664031620554
29601,0.2508092485549132,0.0,0.24804,-0.9889587462548978,-2.2331269443964232,62.010000000000005,0.5600888908517964,90.29132947976876
274572,6.694882943143813,0.0,0.6813600000000001,-0.10177325067315428,-2.229507745881894,170.34000000000003,14.926293379511701,2410.1578595317724
285668,4.157541666666666,0.0,0.69596,-0.167396999428749,-2.227548022213284,173.99,9.261123716852653,1496.7149999999997
267768,1.670119760479042,0.0,0.0,0.0,-2.2216102186415436,0.0,3.7103551262354073,601.2431137724551
74922,0.4411730205278592,0.0,0.27108,-0.6144528051050252,-2.220521314355674,67.77,0.9796340954007847,158.82228739002932
8251,0.7924117647058824,0.0,0.0,0.0,-2.18925983689358,0.0,1.734795250752554,285.26823529411763
24210,0.1981230769230769,0.0,0.4830399999999999,-2.4380804472744213,-2.1881840610670045,120.76,0.4335297590526289,71.32430769230768
94138,1.10168284789644,0.0,0.01216,-0.011037659361964634,-2.1784690327641387,3.04,2.3999819680697994,396.6058252427184
70251,3.694160305343512,0.0,18.35632,-4.9690101356587135,-2.1675968291530667,4589.08,8.007450164245721,1329.8977099236643
118314,6.38534693877551,0.0,1.596,-0.24994726446391932,-2.1619500791035797,399.0,13.804801319389515,2298.7248979591836
104858,5.439312977099237,0.0,6.9370400000000005,-1.2753522419479335,-2.161924324286973,1734.2600000000002,11.759383032600631,1958.1526717557254
65065,0.6028115015974441,0.0,0.66708,-1.1066145855416578,-2.1462719308909612,166.77,1.2937974054968262,217.01214057507988
71655,4.0133707865168535,0.0,0.3332,-0.08302248103250372,-2.144830016248504,83.3,8.607998129256215,1444.8134831460673
212089,0.5881920903954803,0.0,1.8102,-3.0775660359235424,-2.1380739004718503,452.55,1.2575981569385557,211.74915254237288
231268,1.4129482071713146,0.0,0.4257599999999999,-0.30132739320456786,-2.137722005181333,106.44,3.020490474651632,508.66135458167327
291090,1.5504285714285715,0.0,0.0,0.0,-2.1337353655059292,0.0,3.3082042745479785,558.1542857142857
121035,1.2885196374622356,0.0,0.0,0.0,-2.1302050515096473,0.0,2.7448110406914337,463.86706948640483
289568,2.6963380281690137,0.0,1.1818400000000002,-0.43831299623903064,-2.1227303135450555,295.46000000000004,5.723598467958667,970.6816901408449
7516,0.1710616438356164,0.0,0.5235200000000001,-3.0604172172172186,-2.1203214536319535,130.88000000000002,0.36270567331820563,61.5821917808219
55398,7.594917491749175,0.0,1.29672,-0.17073523200333732,-2.1106560291850083,324.18,16.030258395123077,2734.1702970297033
127119,0.3588034188034188,0.0,0.6306000000000002,-1.7575083373034783,-2.1061390587424094,157.65000000000003,0.7556898947521911,129.16923076923078
201688,0.4971513353115727,0.0,0.79872,-1.6065932911543512,-2.1006716241408245,199.68,1.044351702992741,178.97448071216616
