Branch,Bus_Type_ID,Customer,Training_spend,Predicted_spend,Testing_spend,Intercept,Slope,Churn_time,Error_slope_ratio
156,142,252171,29699.178378908844,0.0,0.0,9760.078249861548,-1508.924535993481,1.968136406819672,-0.3176363991674358
323,142,100760,10665.731111915717,0.0,2257.38,2717.04846097431,-366.7722999517196,2.9061937634647728,-0.222268465573283
441,142,120042,14010.882778580442,180.89478145053567,6904.1,2400.2395063794197,-222.0336063380834,6.311208458820019,-0.7274109170890193
363,142,157117,23479.215181822037,3835.3645337273383,15353.81,3278.612665387497,-206.8202549345097,11.342616029865717,-1.89897256624526
301,142,72769,31452.201346172773,15907.065342219372,7.8,3834.274532119287,-153.123199444891,20.55699434390377,-4.2221121963772665
324,142,17766,8726.534912276473,249.95909494977337,4240.25,1430.631713640012,-123.99516053608107,7.037528155061671,-0.9051758637392872
168,142,12518,3975.803891479291,0.0,2049.3900000000003,833.1135780236939,-96.7851530835033,4.098766898432259,-0.3084178283761162
156,142,266328,53689.7661321254,43841.11305678105,38193.380000000005,5804.2466402284845,-96.72667267020994,55.35027436301587,-6.1514798180685375
344,142,67884,2861.684867603055,0.0,1184.6,646.9278352711524,-80.16874411352153,3.5771060845038187,-0.4501461894035383
324,142,17681,1964.2062001799184,0.0,2343.4,397.3874867702059,-44.65930372271424,4.364902667066485,-0.3423943173860892
505,142,170221,1176.0396058932115,0.0,0.0,314.1639927185244,-43.68000713982293,2.672817286120935,-0.3976880794266541
161,142,18316,19118.64196861285,15500.708095990414,1058.37,2071.7849670131086,-35.537948922627464,53.10733880170236,-7.254158564566034
367,142,80587,1816.5663037180077,0.0,7.870000000000001,337.39112990110107,-34.60766656206673,5.190189439194308,-0.8288686815978049
365,142,58693,1770.6282847578168,0.0,893.11,330.1474127144545,-34.018796497482846,5.207730249287697,-0.5498565350880944
301,142,59163,1220.4806833090713,0.0,0.0,266.2388321840814,-32.04239196737206,3.814002135340848,-1.0052082982166402
1092,142,71387,2257.0725927751246,83.8760624722185,656.1500000000001,362.3050359300073,-30.35506147833217,7.523575309250416,-1.4205082121475652
324,142,61011,9581.857358032445,6629.610243247838,3651.27,1088.9101732901058,-29.04987499708037,33.04088744149118,-2.578422306216338
324,142,17796,1946.6214275314535,63.49574088540989,617.38,316.0227415895249,-26.969021963639896,7.209708990857235,-0.3842580830702142
1409,142,185908,778.1137108770046,0.0,0.0,196.76274860982565,-26.43363944936116,2.992745041834633,-0.4749543102095568
367,142,24234,1029.3004672448308,0.0,1767.2200000000005,215.5509556478124,-25.026868649628728,4.117201868979323,-0.5857154979975125
365,142,243093,1589.0490869120022,30.81053435298441,10489.6,266.4146524305074,-23.891054164290484,6.621037862133342,-0.7236631770869166
304,142,110025,5147.509928486572,3422.4847631508383,1953.65,591.1516169312844,-16.97791646280604,30.27947016756807,-3.4327723968076933
323,142,96016,599.6854905764835,0.0,608.23,123.4841056053082,-14.114568121702188,4.2834677898320255,-0.5569433288744996
166,142,66867,269.7186853029755,0.0,1870.98,72.7907228619641,-10.181967629259232,2.6971868530297547,-0.4184233761828006
366,142,66300,613.3040153358171,7.205089017909089,1480.55,105.64705427864848,-9.848145054459282,6.133040153358171,-0.3582958074732847
367,142,171961,508.1650534995271,25.898402009373527,41.120000000000005,79.70782378574945,-6.420292985732611,8.469417558325452,-1.4059627077306576
301,142,129777,64.57482924068071,0.0,154.28,22.30766828314424,-3.522263413128038,1.614370731017018,-0.4690415759823431
666,142,45603,47.0040404948674,0.0,1731.78,16.237759443681462,-2.563856754265494,1.5668013498289133,-0.4690415759823431
303,142,92117,2642.641684061793,2388.424385832988,1950.17,275.45181572972416,-2.486143849676638,132.13208420308965,-13.811156739034358
168,142,48847,72.73669611722507,0.0,0.0,15.986881371550265,-1.9362692799617245,3.636834805861253,-0.7512497853195123
370,142,79011,71.05962721359631,0.0,0.0,12.919932220653877,-1.2919932220653876,7.105962721359632,-1.6248076809271916
363,142,71611,782.9789609997894,856.0788682592838,25.97,75.02232561031398,0.7279045532588788,78.29789609997894,12.888027326165478
366,142,107021,35.19389783059423,122.31491819427217,462.55,-0.3503686870407581,0.8599463266889291,3.519389783059423,0.8343017787918733
1349,142,126471,501.4167033236133,657.9644526556029,208.08,43.17146657707322,1.5489341678418027,25.070835166180665,7.00405380999612
301,142,57275,3726.586459291051,3937.688656650711,1459.09,363.1436257670318,2.1144489249051808,186.32932296455252,27.604367146064497
301,142,23202,371.8711893780626,723.419074019132,4701.900000000001,21.563269936620166,3.471966444708021,12.395706312602089,2.1725633451520685
766,142,82268,350.7661496790412,710.8656213345918,240.59,19.07385230739926,3.556169480112191,8.76915374197603,1.6276823825248337
224,142,111718,70.3566367490339,448.3867953366316,703.1899999999999,-9.752627045391744,3.7307312711766967,1.7589159187258474,0.3994960416374759
301,142,91368,104.94055414182952,556.040380030536,0.0,-9.540050376529956,4.452023509047312,2.6235138535457376,0.6461818787370653
1349,142,100873,5558.630564179986,6041.237693776121,2465.29,534.2228879517602,4.808926325830784,111.17261128359974,13.7607730271048
363,142,279389,9575.743033375962,10061.07052004559,2148.01,935.6608343132888,4.869659783179457,191.5148606675193,31.72830084231347
1409,142,111630,152.90367070530107,782.1854549577822,415.4999999999999,-12.657347916956034,6.210603330552476,2.548394511755017,0.4984515540129894
161,142,18303,1979.4654105841032,2608.8342752063418,3201.4800000000005,169.9256143768129,6.226872595910545,32.99109017640172,2.909737192043508
301,142,126327,1298.1008115335835,1946.023919180368,1683.0399999999995,100.9911609243035,6.404204495345528,21.635013525559728,2.1899069184601068
155,142,76958,171.00767148369357,909.53596527054,261.22,-15.698492459528218,7.288724357310572,2.442966735481337,0.6286731725281959
156,142,57735,3698.2758975416473,4614.065293772703,3839.68,329.0235184131512,9.067571409114116,41.091954417129415,2.6113521837423144
481,142,64759,2074.039865037302,3374.643925992476,1481.6,149.5747078719422,12.850950807064002,15.954152807979249,1.542579830450338
1349,142,122065,3385.454662602747,4808.008951769417,185.8,275.25146128123754,14.065334439786028,24.18181901859105,1.6967686543717475
324,142,17682,1291.7790884613685,2725.153475688715,144.92000000000002,65.48294658768228,14.154436057434353,9.226993489009775,1.3872760042215355
1349,142,96874,1015.0138958750364,2634.0432011926014,1288.8100000000002,29.5733256087718,15.98401421749596,6.3438368492189765,0.9186975614828624
224,142,102778,625.0428121729992,3097.4536274342827,2243.1199999999994,-47.301556021458254,24.401297164168483,2.60434505072083,0.6429784232367233
365,142,81539,972.7048400821276,3824.4752208294326,1128.3,-29.39320126485705,28.14748561623773,3.4739458574361697,0.5620373817494525
224,142,73485,17351.18581627373,23147.022755999245,24632.83,1477.1081195123425,57.335658247784586,30.44067687065567,2.1133293957897465
502,142,54768,1667.4566855751032,7771.557492593995,717.1200000000001,-104.35716058040418,60.24507314175878,2.7790944759585057,0.6507111486484076
168,142,102536,15930.527956435542,22965.90008502081,12985.64,1280.0573629328808,69.55454060237189,22.757897080622204,5.025573634416887
304,142,96908,6362.417165386766,15479.831932762618,2660.75,231.1608906762026,90.01796130277201,7.069352405985296,1.16019472619694
168,142,75868,4049.739005245913,13416.948556071471,28647.120000000003,-11.110727367263223,92.46325064263436,4.401890223093384,0.4085630399938301
441,142,191156,3311.6607541278045,14147.56804240583,837.1999999999999,-150.10490930320617,106.9491077146637,3.0950100505867333,0.4571410465259863
365,142,119279,5192.259877287013,16207.322119584436,15291.920000000002,29.92861434233498,108.73274964141471,4.763541171822948,0.6251095593053423
441,142,75695,8011.243540224551,23068.354524449234,21806.49,132.24144007379834,148.64064754414596,5.376673516929229,1.0819249286496295
224,142,102753,11719.04891232762,27471.510449827507,17770.32,472.00565891188194,155.53316273797338,7.512210841235655,0.598253626807561
314,142,34628,12604.21643021149,30867.517079906112,15115.6,449.0003716439787,180.31583808381563,7.002342461228606,0.47805313066967
304,142,136995,11507.774542136984,32442.175798641063,0.0,220.79330674310225,206.6631438823547,5.559311373013036,0.5601501134487353
168,142,77436,8200.381470305774,32024.52256814904,3064.42,-238.1331451781205,235.1491760463773,3.4895240299173507,0.9776555301440276
224,142,68347,14334.960384316142,45044.26021344635,7533.670000000001,69.37111912221462,303.1388709576443,4.731010027827109,1.128257514225539
224,142,123355,17989.217991153273,50206.3578036737,10704.08,367.7057411597043,318.04801287902734,5.656986789670841,0.5962419051910139
325,142,299850,7993.76031672926,44661.49741387267,8061.899999999998,-829.0797920978014,361.8790719490505,2.208221081969409,0.425817748067013
1409,142,129342,37892.2224447178,124305.0322847166,58339.380000000005,-49.1920953435083,852.9809644033974,4.442230063859062,0.4921613188228404
766,142,44946,128276.77186929256,283137.04680862057,161183.08000000002,5946.568306440929,1529.135306775184,8.389586126180024,0.5951729772455446
507,206,114382,93038.18974257087,0.0,48483.27,18115.09028159936,-1958.0602905205044,4.751695083890239,-0.7587072669411342
314,206,175341,28996.275347688235,0.0,5419.91,6055.589576483346,-701.3248981587828,4.136415884121004,-0.3900930043196003
421,206,18752,82244.2677357707,28185.20242874909,81878.93,10664.046059462944,-542.1376190857499,15.174219139441089,-0.3874675731342528
382,206,190941,58623.22439816977,38031.47530796075,45570.72,6792.67699999561,-206.745457817474,28.3203982599854,-1.2261067584739458
322,206,123759,16299.626595327923,1190.4324720579216,48142.7,2500.0436978900107,-193.3513418571596,8.445402380998924,-1.0144281066539786
1572,206,123765,49497.59922769785,35795.836954049046,22486.46,5569.23122196245,-137.6602887094812,35.86782552731728,-3.26567889123705
283,206,247210,6609.290665492343,172.73982040511058,41.13,1097.1065503165737,-96.92832972607545,6.813701717002415,-0.8743354124087134
224,206,64394,12522.703257248972,3097.3538809550428,11768.21,1686.9200553561825,-96.58882880695226,12.910003357988632,-0.594305311047924
282,206,67834,2488.673366969804,0.0,0.0,630.8409595205676,-84.8830272941305,2.927851019964476,-0.2776009674269226
381,206,138034,4402.979943716112,43.29752486714358,2532.16,768.416758701039,-72.9152809620951,6.031479374953578,-0.2914138943919561
344,206,57430,3831.793785278837,0.0,4505.700000000001,699.025352221395,-70.18799415411364,5.473991121826908,-0.4976900048013096
1409,206,114725,3200.2154595901966,30.88143745487432,7958.680000000001,558.9445523329941,-53.094001416438765,6.038142376585276,-1.5908177816443394
441,206,125152,4233.244310396303,273.1370815636433,5584.25,657.2718215958522,-51.98830901249375,8.140854443069815,-0.432987859219697
1092,206,71165,2383.406718914726,0.0,0.0,448.1633816274361,-46.627268830214106,5.071078125350481,-0.6452322421791192
306,206,237131,1213.7829879197031,0.0,0.0,324.01713011941126,-45.03085140609798,2.6972955287104514,-0.3710958011713487
1349,206,79594,2746.901626354474,66.76689761205435,1136.06,457.7443443187158,-40.67870704072631,6.699760064279205,-0.4664398315428356
527,206,81689,7718.236531529816,3875.5368628874376,1765.86,945.3136468294284,-38.5533319280993,19.79035008084568,-2.8075581908711924
281,206,68144,5451.405330987328,2410.8391719558967,4358.21,682.3900421461534,-30.4998908994268,18.17135110329109,-1.131286819501373
